Company,Current-Price,Change%,Volume,Equity,Face-Value,Market-Cap(Cr)
Reliance Inds.,"1,959.25",-1.76,693942,"6,445.10",10,"12,62,755.95"
Tata Consultancy,"3,037.00",-0.05,110455,369.91,1,"11,23,401.90"
HDFC Bank,"1,413.10",+      0.06,299098,551.28,1,"7,79,010.44"
Infosys,"1,351.80",-0.16,92652,"2,130.33",5,"5,75,956.13"
Hindustan Unilever L,"2,407.35",+      2.27,132605,234.96,1,"5,65,623.21"
HDFC,"2,419.00",-0.05,140080,360.79,2,"4,36,374.64"
ICICI Bank,597.00,-0.57,624577,"1,383.33",2,"4,12,924.29"
Kotak Mahindra Bank,"1,724.30",-1.39,268641,990.92,5,"3,41,727.92"
SBI,350.45,-0.85,2636599,892.46,1,"3,12,763.01"
Bharti Airtel,558.70,+      3.98,1010101,"2,746.01",5,"3,06,839.56"
Wipro Ltd,487.50,-1.00,341385,"1,095.83",2,"2,67,108.13"
Asian Paints Ltd.,"2,583.15",+      1.69,61642,95.92,1,"2,47,775.18"
ITC Ltd.,200.95,-0.86,1545633,"1,230.88",1,"2,47,346.22"
HCL Technologies,907.40,+      0.88,399788,542.73,2,"2,46,237.97"
Axis Bank Ltd.,703.00,-1.61,494115,612.76,2,"2,15,384.67"
Maruti Suzuki India,"6,598.30",+      2.14,51244,151.04,5,"1,99,321.49"
L&T,"1,342.15",+      0.15,412197,280.91,2,"1,88,512.39"
Avenue Supermarts,"2,897.60",+      1.37,26570,647.77,10,"1,87,699.19"
UltraTech Cement,"6,345.00",+      1.17,13632,288.65,10,"1,83,150.58"
Bajaj Finserv Ltd.,"11,047.80",+      0.08,15222,79.57,5,"1,75,811.87"
JSW Steel,723.30,+      0.80,739977,241.72,1,"1,74,837.55"
Adani Green Energy,"1,036.50",+      1.72,65512,"1,564.01",10,"1,62,110.08"
Nestle India,"16,526.40",+      1.32,3965,96.42,10,"1,59,340.47"
Sun Pharma.,658.80,+      0.63,304520,239.93,1,"1,58,068.19"
Adani Ports & Speci,761.25,+      4.30,1289664,406.35,2,"1,54,667.10"
Adani Enterprises Lt,"1,255.60",+      8.38,607822,109.98,1,"1,38,092.15"
Adani Total Gas,"1,238.30",+      7.66,169635,109.98,1,"1,36,189.48"
HDFC Life Insurance,672.00,+      1.02,236510,"2,020.94",10,"1,35,807.43"
ONGC,107.65,-0.83,2682313,"6,290.14",5,"1,35,426.71"
Titan Company,"1,423.60",-4.58,183007,88.78,1,"1,26,385.24"
Hind. Zinc,297.80,-2.46,151138,845.06,2,"1,25,830.00"
Tata Steel,"1,064.55",+      2.96,1052434,"1,126.49",10,"1,19,920.46"
Adani Transmission L,"1,061.10",+      1.07,43091,"1,099.81",10,"1,16,700.85"
Power Grid Corpo,221.00,+      0.45,304608,"5,231.59",10,"1,15,618.13"
Bajaj Auto Ltd.,"3,853.35",+      0.58,33780,289.37,10,"1,11,503.24"
